epoch,train_loss,train_acc,val_acc,noiseless_val_acc,final_train_acc,final_val_acc,final_noiseless_val_acc,sensitivity,sens_f,sens_g,err_f,err_g,lr,depth,d_model,dropout,heads,d_ffn,n_bool,n_bits,bf_bool
231,0.6515177885691324,0.6240079365079365,0.6135912698412699,0.7524801587301587,0.6309523809523809,0.6071428571428571,0.7237103174603174,1.979,2.875,2.25,0.360018,0.354584,0.000251,3,16,0.1,4,32,6,10,0.2
116,0.6679202762861101,0.5719246031746031,0.5808531746031746,0.6170634920634921,0.6924603174603174,0.5441468253968254,0.6264880952380952,2.387,3.84375,2.890625,0.40931948,0.40300301,0.001,4,16,0.05,8,32,8,10,0.2
153,0.6918727433870709,0.5372023809523809,0.5491071428571429,0.5451388888888888,0.5302579365079365,0.5376984126984127,0.5386904761904762,1.0345,3.703125,1.828125,0.4608831515625,0.4411520953125,2.5e-05,1,16,0.1,8,256,7,10,0.3
232,0.6693858863815428,0.5843253968253969,0.5922619047619048,0.7380952380952381,0.5887896825396826,0.5823412698412699,0.7251984126984127,1.141,2.625,1.25,0.4228425,0.40063499999999996,0.001,3,64,0.1,2,128,5,10,0.3
218,0.6168221140664721,0.6760912698412699,0.660218253968254,0.6661706349206349,0.6875,0.6498015873015873,0.6840277777777778,0.5565,2.9375,2.9375,0.29747279296875007,0.29747279296875007,6.3e-05,3,32,0.1,2,256,5,10,0.15
93,0.6834726882359338,0.5719246031746031,0.5758928571428571,0.6393849206349206,0.597718253968254,0.5555555555555556,0.6235119047619048,1.6235,3.0625,1.75,0.44894887499999997,0.436625,0.000398,1,32,0.1,8,64,6,10,0.3
267,0.6833214494917128,0.5659722222222222,0.5719246031746031,0.5739087301587301,0.5699404761904762,0.5654761904761905,0.5798611111111112,0.608,3.484375,1.375,0.4542163640625,0.427367734375,6.3e-05,3,16,0.05,8,256,7,10,0.3
153,0.6728875334300692,0.6056547619047619,0.589781746031746,0.6656746031746031,0.6116071428571429,0.5694444444444444,0.6374007936507936,1.9905,3.84375,3.578125,0.3558160384249878,0.35451500818634035,0.0001,3,128,0.1,2,128,8,10,0.15
220,0.614325309556628,0.6800595238095238,0.6800595238095238,0.9216269841269841,0.6795634920634921,0.6612103174603174,0.9067460317460317,2.0065,2.1875,2.1875,0.31301999999999996,0.31301999999999996,0.001585,4,64,0.2,8,32,5,10,0.2
257,0.6961173443567186,0.5372023809523809,0.5560515873015873,0.6016865079365079,0.5218253968253969,0.5327380952380952,0.5873015873015873,2.2165,3.265625,2.5,0.4276857376098633,0.42008399963378906,1e-05,4,64,0.1,4,32,7,10,0.25
160,0.6521883673138089,0.6374007936507936,0.6264880952380952,0.7018849206349206,0.6532738095238095,0.6155753968253969,0.714781746031746,2.122,3.9375,3.03125,0.35518657244842533,0.3508843045718384,0.000398,3,32,0.05,2,32,8,10,0.15
121,0.6849181652069092,0.5550595238095238,0.5406746031746031,0.5555555555555556,0.5877976190476191,0.529265873015873,0.5520833333333334,1.697,4.109375,3.78125,0.3693654437960816,0.3678500398324585,0.0001,3,64,0.1,8,128,8,10,0.15
71,0.6929723346044147,0.5555555555555556,0.5659722222222222,0.5922619047619048,0.5694444444444444,0.5600198412698413,0.5763888888888888,0.722,3.0625,1.9375,0.4232177734375,0.412109375,0.000631,1,64,0.2,4,64,6,10,0.25
286,0.6926512860116505,0.5471230158730159,0.5625,0.6125992063492064,0.5496031746031746,0.5595238095238095,0.6086309523809523,1.227,3.1875,2.0625,0.42852783203125,0.41925048828125,4e-05,3,64,0.1,2,32,5,10,0.25
9,0.7846507297621833,0.5882936507936508,0.5868055555555556,0.5868055555555556,0.5882936507936508,0.5868055555555556,0.5868055555555556,0.0,2.9375,1.375,0.41241455078125,0.398193359375,1e-05,3,64,0.2,4,128,5,10,0.25
37,0.7009742080219208,0.5674603174603174,0.5982142857142857,0.6155753968253969,0.5952380952380952,0.5907738095238095,0.6641865079365079,1.462,3.1875,2.5,0.38177,0.37743499999999996,1.6e-05,1,64,0.1,2,128,6,10,0.2
252,0.5913944901928069,0.7058531746031746,0.6909722222222222,0.9662698412698413,0.7093253968253969,0.6780753968253969,0.9717261904761905,1.9655,2.125,2.125,0.31088000000000005,0.31088000000000005,0.000251,3,32,0.2,4,256,5,10,0.2
1,0.7209615872965919,0.6617063492063492,0.6458333333333334,0.6458333333333334,0.660218253968254,0.6438492063492064,0.6428571428571429,0.0,2.5625,0.625,0.37188720703125,0.341552734375,6.3e-05,1,32,0.1,4,256,5,10,0.25
75,0.691020477385748,0.5520833333333334,0.5987103174603174,0.6091269841269841,0.5892857142857143,0.5858134920634921,0.6557539682539683,1.514,3.71875,2.96875,0.4060152,0.4000422,0.000251,1,128,0.1,2,128,7,10,0.2
91,0.6782863442859952,0.5753968253968254,0.5610119047619048,0.6428571428571429,0.6215277777777778,0.5406746031746031,0.6999007936507936,1.7525,3.3125,2.3125,0.43022918701171875,0.42139434814453125,0.000398,3,32,0.1,2,64,6,10,0.25
86,0.6906393567721049,0.5327380952380952,0.5327380952380952,0.5391865079365079,0.5600198412698413,0.5133928571428571,0.5456349206349206,0.479,3.75,2.75,0.4473915100097656,0.4415550231933594,0.001585,1,32,0.2,2,128,7,10,0.25
270,0.6781447104045323,0.5853174603174603,0.5773809523809523,0.6006944444444444,0.5808531746031746,0.5629960317460317,0.5997023809523809,2.1055,3.71875,3.40625,0.34935394100463874,0.34832319496337893,4e-05,4,128,0.05,4,64,8,10,0.15
299,0.681738919681973,0.5744047619047619,0.5967261904761905,0.6200396825396826,0.5744047619047619,0.5942460317460317,0.6091269841269841,0.928,3.3125,1.125,0.44522120625,0.41267615625,2.5e-05,3,32,0.05,8,64,7,10,0.3
52,0.7117117965032184,0.5396825396825397,0.5257936507936508,0.5456349206349206,0.5471230158730159,0.5148809523809523,0.5337301587301587,2.203,4.046875,2.265625,0.4701107746875,0.45674530453125,2.5e-05,2,64,0.2,2,32,8,10,0.3
17,0.7087993309611366,0.5600198412698413,0.5610119047619048,0.5550595238095238,0.5694444444444444,0.5431547619047619,0.5600198412698413,0.9695,4.125,2.203125,0.4475698471069336,0.4275474548339844,6.3e-05,4,16,0.1,4,32,8,10,0.25
284,0.6317339061744629,0.6865079365079365,0.6949404761904762,0.841765873015873,0.6865079365079365,0.6884920634920635,0.8422619047619048,1.7635,2.3125,2.3125,0.27007669921875005,0.27007669921875005,2.5e-05,4,128,0.1,4,32,5,10,0.15
227,0.6911266143359835,0.5550595238095238,0.5555555555555556,0.5580357142857143,0.5540674603174603,0.5471230158730159,0.5525793650793651,0.615,2.875,1.75,0.444271125,0.436396875,1.6e-05,2,16,0.1,4,256,6,10,0.3
99,0.6801827010654268,0.5788690476190477,0.5550595238095238,0.589781746031746,0.6929563492063492,0.5372023809523809,0.6369047619047619,1.7315,4.09375,2.765625,0.41846168,0.40969931000000004,0.000398,3,64,0.05,4,256,8,10,0.2
239,0.615057681288038,0.6785714285714286,0.6617063492063492,0.7827380952380952,0.6820436507936508,0.6507936507936508,0.7693452380952381,1.8975,2.875,2.875,0.30440484375,0.30440484375,0.000158,1,128,0.05,8,64,5,10,0.15
232,0.6866671083465455,0.5714285714285714,0.5486111111111112,0.5744047619047619,0.5813492063492064,0.5386904761904762,0.5758928571428571,1.879,3.609375,1.515625,0.4644930515625,0.4441929484375,6.3e-05,3,32,0.1,2,128,7,10,0.3
4,0.7691106607043554,0.5699404761904762,0.5818452380952381,0.5848214285714286,0.5684523809523809,0.5739087301587301,0.5744047619047619,1.274,3.234375,2.46875,0.37548380000000003,0.36696890000000004,1e-05,4,64,0.2,4,64,7,10,0.2
4,0.7879260106692239,0.5381944444444444,0.5213293650793651,0.5208333333333334,0.5396825396825397,0.5208333333333334,0.5213293650793651,0.0145,3.921875,2.09375,0.4704375496875,0.45483157265625,1e-05,4,64,0.2,8,256,8,10,0.3
293,0.6754629952566964,0.5833333333333334,0.5739087301587301,0.6130952380952381,0.5828373015873016,0.560515873015873,0.6125992063492064,1.997,3.296875,2.59375,0.3866162,0.3803291,0.0001,4,128,0.1,2,32,7,10,0.2
221,0.5855702634841676,0.6924603174603174,0.5491071428571429,0.6175595238095238,0.7400793650793651,0.5307539682539683,0.6369047619047619,3.861,3.875,3.234375,0.40987439999999997,0.40541875,0.000631,3,128,0.05,8,128,8,10,0.2
268,0.5875690910551283,0.7127976190476191,0.6929563492063492,0.9131944444444444,0.7108134920634921,0.6820436507936508,0.8953373015873016,2.7095,2.875,2.875,0.30520058789062504,0.30520058789062504,0.000398,3,64,0.05,2,128,6,10,0.15
245,0.6882855040686471,0.5381944444444444,0.5510912698412699,0.6061507936507936,0.5396825396825397,0.5347222222222222,0.5932539682539683,1.6635,3.46875,2.84375,0.4388771057128906,0.4346351623535156,0.000158,1,64,0.2,2,32,7,10,0.25
294,0.6931643542789278,0.5466269841269841,0.5322420634920635,0.533234126984127,0.5406746031746031,0.5307539682539683,0.5252976190476191,0.65,3.90625,3.65625,0.36253411478759767,0.36182850385253906,1.6e-05,2,64,0.2,4,256,8,10,0.15
299,0.6758429389151316,0.6006944444444444,0.5610119047619048,0.6398809523809523,0.6046626984126984,0.5535714285714286,0.6374007936507936,2.237,2.6875,1.875,0.4277775,0.41854125,1e-05,3,128,0.05,8,128,6,10,0.3
