epoch,train_loss,train_acc,val_acc,noiseless_val_acc,final_train_acc,final_val_acc,final_noiseless_val_acc,sensitivity,sens_f,sens_g,err_f,err_g,lr,depth,d_model,dropout,heads,d_ffn,n_bool,n_bits,bf_bool
57,0.6937713641673326,0.6396484375,0.614453125,0.750390625,0.6044921875,0.555078125,0.64453125,1.69,1.0,1.0,0.4,0.4,6.3e-05,3,16,0.2,4,32,3,5,0.3
1,0.3639563836622983,0.8857421875,0.855859375,0.855859375,0.8857421875,0.855859375,0.855859375,0.0,0.75,0.75,0.7559999999999998,0.7559999999999998,0.000398,1,128,0.05,4,128,3,5,0.2
22,0.15531425550580025,1.0,1.0,1.0,1.0,1.0,1.0,1.282,1.25,1.25,1.0,1.0,0.03981,4,128,0.2,8,256,3,5,0.0
18,0.5159927047789097,0.859375,0.82578125,1.0,0.859375,0.82578125,1.0,1.786,1.75,1.75,0.6845000000000001,0.6845000000000001,0.03981,1,64,0.2,4,64,3,5,0.1
100,0.24829587526619434,0.9404296875,0.941015625,0.941015625,0.9404296875,0.941015625,0.941015625,1.492,1.5,1.5,1.0,1.0,6.3e-05,4,64,0.2,4,32,3,5,0.0
16,0.7207879349589348,0.568359375,0.54375,0.59765625,0.568359375,0.54375,0.59765625,0.916,2.0,2.0,0.6400000000000001,0.6400000000000001,6.3e-05,1,64,0.2,8,256,3,5,0.1
31,0.5712871989235282,0.7421875,0.759375,1.0,0.7421875,0.759375,1.0,1.478,1.5,1.5,0.48,0.48,0.002512,2,16,0.2,4,32,3,5,0.2
1,0.8457524571567774,0.513671875,0.533984375,0.533984375,0.513671875,0.533984375,0.533984375,0.0,2.0,2.0,0.38399999999999995,0.38399999999999995,0.03981,2,32,0.2,4,256,3,5,0.2
45,0.6522697657346725,0.6923828125,0.698828125,0.7125,0.6923828125,0.698828125,0.7125,1.114,1.75,1.75,0.6845000000000002,0.6845000000000002,1e-05,2,16,0.05,4,64,3,5,0.1
44,0.35976948821917176,0.8720703125,0.855859375,1.0,0.8623046875,0.84765625,0.84765625,0.824,0.75,0.75,0.7559999999999998,0.7559999999999998,0.00631,1,128,0.1,2,128,3,5,0.2
2,0.4211329552344978,0.90234375,0.901171875,1.0,0.90234375,0.901171875,1.0,1.022,1.0,1.0,0.81,0.81,0.01585,3,32,0.1,2,64,3,5,0.1
32,0.608208685182035,0.697265625,0.685546875,1.0,0.7060546875,0.682421875,0.967578125,2.004,2.0,2.0,0.38399999999999995,0.38399999999999995,0.002512,4,16,0.1,8,32,3,5,0.2
1,0.5116886598989367,0.896484375,0.881640625,0.881640625,0.896484375,0.881640625,0.881640625,0.0,0.75,0.0,0.6715000000000001,0.75,6.3e-05,3,128,0.05,4,64,3,5,0.3
3,0.7274842616170645,0.720703125,0.714453125,0.714453125,0.720703125,0.714453125,0.714453125,0.0,1.5,1.5,0.7380000000000001,0.7380000000000001,1e-05,3,64,0.1,2,128,3,5,0.1
1,0.6388718131929636,0.7705078125,0.788671875,0.788671875,0.7705078125,0.773828125,0.812109375,0.0,1.5,0.0,0.406,0.5,6.3e-05,4,64,0.1,8,128,3,5,0.3
12,0.46988025214523077,0.8037109375,0.805859375,0.82734375,0.8037109375,0.805859375,0.82734375,0.412,1.0,1.0,0.81,0.81,1e-05,1,128,0.05,2,64,3,5,0.1
9,0.20227127464022487,1.0,1.0,1.0,1.0,1.0,1.0,1.752,1.75,1.75,1.0,1.0,0.002512,3,128,0.1,4,32,3,5,0.0
2,0.2308070971048437,0.947265625,0.958984375,1.0,0.947265625,0.958984375,1.0,0.692,0.75,0.75,0.8645000000000003,0.8645000000000003,0.01585,2,32,0.05,4,256,3,5,0.1
3,0.2345991280162707,1.0,1.0,1.0,1.0,1.0,1.0,1.766,1.75,1.75,1.0,1.0,0.03981,4,16,0.2,8,256,3,5,0.0
2,0.7073830030858517,0.6328125,0.637109375,0.668359375,0.634765625,0.633203125,0.691015625,0.29,1.25,1.25,0.37150000000000005,0.37150000000000005,2.5e-05,4,128,0.1,8,32,3,5,0.3
7,0.3048065477050841,1.0,1.0,1.0,1.0,1.0,1.0,1.07,1.0,1.0,1.0,1.0,0.01585,4,64,0.1,2,32,3,5,0.0
1,0.6403259290382266,0.7744140625,0.7765625,0.7765625,0.7744140625,0.7765625,0.7765625,0.0,1.0,0.0,0.49,0.5,6.3e-05,2,32,0.05,8,128,3,5,0.3
4,0.8260390404611826,0.640625,0.6203125,0.6203125,0.640625,0.6203125,0.6203125,0.0,2.25,2.25,0.364,0.364,1e-05,4,64,0.2,4,64,3,5,0.2
2,0.5790921943262219,0.8818359375,0.8953125,0.8953125,0.8818359375,0.8953125,0.8953125,0.0,0.75,0.0,0.6715000000000001,0.75,1e-05,4,64,0.2,8,256,3,5,0.3
27,0.6352933505550027,0.69921875,0.724609375,1.0,0.69921875,0.724609375,1.0,1.69,1.75,1.75,0.43600000000000005,0.43600000000000005,0.001,4,128,0.1,2,32,3,5,0.2
72,0.6293768472969532,0.681640625,0.68828125,0.912109375,0.6240234375,0.623046875,0.7515625,1.158,1.25,1.25,0.37150000000000005,0.37150000000000005,0.03981,3,128,0.05,8,128,3,5,0.3
58,0.6399385407567024,0.7265625,0.702734375,0.88125,0.73046875,0.701953125,0.87578125,1.508,1.5,1.5,0.504,0.504,0.03981,1,64,0.2,2,32,3,5,0.2
3,0.1593139790056739,1.0,1.0,1.0,1.0,1.0,1.0,1.256,1.25,1.25,1.0,1.0,0.01585,3,16,0.2,8,32,3,5,0.0
5,0.2814731295220554,0.9345703125,0.928125,1.0,0.9345703125,0.928125,1.0,0.756,0.75,0.75,0.8645000000000003,0.8645000000000003,0.002512,3,32,0.1,8,128,3,5,0.1
3,0.5335669899359345,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.00631,4,16,0.05,8,256,3,5,0.0
5,0.18159297184320167,1.0,1.0,1.0,1.0,1.0,1.0,1.972,2.0,2.0,1.0,1.0,0.002512,3,32,0.1,8,32,3,5,0.0
