epoch,train_loss,train_acc,val_acc,noiseless_val_acc,final_train_acc,final_val_acc,final_noiseless_val_acc,sensitivity,sens_f,sens_g,err_f,err_g,entropy,lr,depth,d_model,dropout,heads,d_ffn,n_bool,n_bits,bf_bool
73,0.5499379634857178,0.7292993630573248,0.7174520766773163,0.8409544728434505,0.763734076433121,0.6751198083067093,0.7731629392971247,0.8843,1.8125,0.625,0.3164448448,0.2790798304,0.8032268933152098,0.000251,3,64,0.05,8,128,5,10,0.28
403,0.6656451726415354,0.6052945859872612,0.5691892971246006,0.6672324281150159,0.6116640127388535,0.5660942492012779,0.6648362619808307,2.1574,3.75,2.859375,0.408932,0.4048625,0.9595524310540622,0.000251,2,128,0.05,2,32,7,10,0.2
298,0.6797447747485653,0.5782245222929936,0.5737819488817891,0.6015375399361023,0.5847929936305732,0.571785143769968,0.6026357827476039,1.1263,3.4375,1.921875,0.43352912818176004,0.41590304372272,0.9673293974289043,0.003,4,128,0.05,8,256,7,10,0.26
424,0.6005038806966915,0.6797372611464968,0.6629392971246006,0.7912340255591054,0.6819267515923567,0.65814696485623,0.7706669329073482,1.8325,2.5,2.0625,0.3264,0.32222,0.8605317883821684,0.000251,1,64,0.05,2,128,6,10,0.2
110,0.6132986010259883,0.6831210191082803,0.6846046325878594,0.9398961661341853,0.7179538216560509,0.650758785942492,0.8351637380191693,2.6527,2.875,2.875,0.31772124160000004,0.31772124160000004,0.8768904150272112,0.000631,4,16,0.05,8,256,6,10,0.16
444,0.6828351351106243,0.5694665605095541,0.5557108626198083,0.5889576677316294,0.5698646496815286,0.5552116613418531,0.5871605431309904,0.4872,3.703125,1.296875,0.4672748390625,0.4413742203125,0.985091510600161,0.003,1,64,0.05,2,128,7,10,0.3
172,0.6369080106923535,0.6520700636942676,0.6509584664536742,0.6961861022364217,0.6701831210191083,0.6423722044728435,0.6947883386581469,0.5369,2.8125,0.3125,0.3963191232,0.3417702144,0.9059388489109281,0.000398,2,16,0.05,2,64,5,10,0.28
408,0.6367430210493172,0.6453025477707006,0.635882587859425,0.8730031948881789,0.651671974522293,0.6301916932907349,0.8672124600638977,2.1142,3.0,2.0625,0.370098,0.361925,0.9180414893357449,0.000158,3,16,0.05,8,64,6,10,0.2
318,0.634660168248377,0.6542595541401274,0.6392771565495208,0.8386581469648562,0.65625,0.637879392971246,0.8428514376996805,1.4723,2.25,1.3125,0.37615656,0.35793277999999995,0.9170116295769875,0.000251,1,16,0.05,4,32,5,10,0.26
118,0.6695325537851662,0.5967356687898089,0.591952875399361,0.8210862619808307,0.6538614649681529,0.5554113418530351,0.7071685303514377,2.1861,2.8125,2.125,0.40778576639999997,0.4016831328,0.9624555371129437,0.000251,3,128,0.05,4,64,5,10,0.24
